list,shuffle_r2,actual_r2
dict,0.4946,0.4582
dict,0.4715,0.4582
dict,0.4692,0.4582
dict,0.4687,0.4582
dict,0.4689,0.4582
dict,0.4697,0.4582
dict,0.4676,0.4582
dict,0.4686,0.4582
dict,0.4915,0.4582
dict,0.4955,0.4582
dict,0.4688,0.4582
dict,0.4714,0.4582
dict,0.4701,0.4582
dict,0.4672,0.4582
dict,0.4949,0.4582
dict,0.4946,0.4582
dict,0.492,0.4582
dict,0.4706,0.4582
dict,0.4931,0.4582
dict,0.4963,0.4582
dict,0.4946,0.4582
dict,0.4713,0.4582
dict,0.4924,0.4582
dict,0.4701,0.4582
dict,0.4706,0.4582
dict,0.47,0.4582
dict,0.4981,0.4582
dict,0.4955,0.4582
dict,0.4706,0.4582
dict,0.4671,0.4582
dict,0.4926,0.4582
dict,0.469,0.4582
dict,0.4694,0.4582
dict,0.4692,0.4582
dict,0.47,0.4582
dict,0.4944,0.4582
dict,0.4693,0.4582
dict,0.4708,0.4582
dict,0.4973,0.4582
dict,0.4712,0.4582
dict,0.4718,0.4582
dict,0.4673,0.4582
dict,0.4943,0.4582
dict,0.4718,0.4582
dict,0.4928,0.4582
dict,0.4695,0.4582
dict,0.4938,0.4582
dict,0.4698,0.4582
dict,0.469,0.4582
dict,0.494,0.4582
dict,0.4676,0.4582
dict,0.4696,0.4582
dict,0.4932,0.4582
dict,0.4696,0.4582
dict,0.4718,0.4582
dict,0.468,0.4582
dict,0.4714,0.4582
dict,0.4686,0.4582
dict,0.4944,0.4582
dict,0.4925,0.4582
dict,0.4699,0.4582
dict,0.4714,0.4582
dict,0.493,0.4582
dict,0.4672,0.4582
dict,0.4675,0.4582
dict,0.4945,0.4582
dict,0.4696,0.4582
dict,0.4939,0.4582
dict,0.4672,0.4582
dict,0.4961,0.4582
dict,0.4964,0.4582
dict,0.4704,0.4582
dict,0.469,0.4582
dict,0.4714,0.4582
dict,0.4925,0.4582
dict,0.4698,0.4582
dict,0.4946,0.4582
dict,0.4707,0.4582
dict,0.4951,0.4582
dict,0.4939,0.4582
dict,0.4683,0.4582
dict,0.4936,0.4582
dict,0.4709,0.4582
dict,0.469,0.4582
dict,0.4925,0.4582
dict,0.4718,0.4582
dict,0.4948,0.4582
dict,0.4693,0.4582
dict,0.4722,0.4582
dict,0.4703,0.4582
dict,0.471,0.4582
dict,0.4695,0.4582
dict,0.4958,0.4582
dict,0.4975,0.4582
dict,0.4942,0.4582
dict,0.4914,0.4582
dict,0.4725,0.4582
dict,0.4937,0.4582
dict,0.4692,0.4582
dict,0.4686,0.4582
llm,0.4179,0.4113
llm,0.4188,0.4113
llm,0.4173,0.4113
llm,0.3812,0.4113
llm,0.4177,0.4113
llm,0.4175,0.4113
llm,0.4179,0.4113
llm,0.4204,0.4113
llm,0.4189,0.4113
llm,0.4167,0.4113
llm,0.4176,0.4113
llm,0.4169,0.4113
llm,0.418,0.4113
llm,0.4151,0.4113
llm,0.382,0.4113
llm,0.417,0.4113
llm,0.4202,0.4113
llm,0.4156,0.4113
llm,0.4159,0.4113
llm,0.419,0.4113
llm,0.4159,0.4113
llm,0.4152,0.4113
llm,0.3842,0.4113
llm,0.3814,0.4113
llm,0.3826,0.4113
llm,0.3808,0.4113
llm,0.3802,0.4113
llm,0.4154,0.4113
llm,0.3819,0.4113
llm,0.4193,0.4113
llm,0.4178,0.4113
llm,0.3805,0.4113
llm,0.4177,0.4113
llm,0.38,0.4113
llm,0.4217,0.4113
llm,0.4171,0.4113
llm,0.3798,0.4113
llm,0.418,0.4113
llm,0.4171,0.4113
llm,0.38,0.4113
llm,0.4139,0.4113
llm,0.4165,0.4113
llm,0.4172,0.4113
llm,0.3831,0.4113
llm,0.4148,0.4113
llm,0.4183,0.4113
llm,0.4152,0.4113
llm,0.4167,0.4113
llm,0.3814,0.4113
llm,0.4183,0.4113
llm,0.386,0.4113
llm,0.38,0.4113
llm,0.3819,0.4113
llm,0.4135,0.4113
llm,0.4183,0.4113
llm,0.4182,0.4113
llm,0.382,0.4113
llm,0.4136,0.4113
llm,0.4176,0.4113
llm,0.4144,0.4113
llm,0.4159,0.4113
llm,0.4169,0.4113
llm,0.4148,0.4113
llm,0.4162,0.4113
llm,0.4138,0.4113
llm,0.3795,0.4113
llm,0.3799,0.4113
llm,0.3816,0.4113
llm,0.3821,0.4113
llm,0.382,0.4113
llm,0.4151,0.4113
llm,0.4205,0.4113
llm,0.4158,0.4113
llm,0.4214,0.4113
llm,0.4181,0.4113
llm,0.4179,0.4113
llm,0.4193,0.4113
llm,0.4205,0.4113
llm,0.4145,0.4113
llm,0.3818,0.4113
llm,0.4169,0.4113
llm,0.4191,0.4113
llm,0.3795,0.4113
llm,0.4147,0.4113
llm,0.4162,0.4113
llm,0.382,0.4113
llm,0.4182,0.4113
llm,0.4177,0.4113
llm,0.3842,0.4113
llm,0.4156,0.4113
llm,0.4206,0.4113
llm,0.3869,0.4113
llm,0.3818,0.4113
llm,0.4154,0.4113
llm,0.4201,0.4113
llm,0.4179,0.4113
llm,0.4166,0.4113
llm,0.4179,0.4113
llm,0.4186,0.4113
llm,0.4141,0.4113
