list,shock_corr
dict,0.9925030424969148
dict,0.997428581702939
dict,0.9973384594839467
dict,0.9972948508927789
dict,0.9973444091903854
dict,0.9974029684734291
dict,0.9975821157950159
dict,0.9973715175284589
dict,0.9926197849075842
dict,0.9923589444488012
dict,0.9972801523951131
dict,0.9970460931808616
dict,0.9974181021585297
dict,0.9974469907808053
dict,0.9925177434463591
dict,0.992691649510384
dict,0.9928858921867214
dict,0.9971030817467106
dict,0.9926638543956129
dict,0.9921996691463495
dict,0.9924611558438311
dict,0.9970785347924153
dict,0.9926805166923888
dict,0.9973713221914251
dict,0.997359198235072
dict,0.9972891721255618
dict,0.9920562115379892
dict,0.9924294789704416
dict,0.9971450947859565
dict,0.9975073262483584
dict,0.9923567013118777
dict,0.9972452822690047
dict,0.9972232164231596
dict,0.9973231624485083
dict,0.9974570268718177
dict,0.9923357134202211
dict,0.997334960136156
dict,0.9973252346640974
dict,0.9922563962107679
dict,0.9972362941100299
dict,0.9972265936751692
dict,0.997363858445572
dict,0.9925262390736203
dict,0.9973340385069628
dict,0.9924926013968458
dict,0.9972350371588226
dict,0.992509545701074
dict,0.9973227554019973
dict,0.9973015185652362
dict,0.9924706997740684
dict,0.9974055155923204
dict,0.9973343480516653
dict,0.9927417990496166
dict,0.997457990806377
dict,0.9973192301538261
dict,0.9972688788547647
dict,0.9972999647414347
dict,0.9973414457042564
dict,0.9926510050008693
dict,0.9927704526917169
dict,0.9973659474820727
dict,0.9972259310564168
dict,0.9924453283239894
dict,0.9973244366346877
dict,0.9974217723889931
dict,0.9921847689627186
dict,0.9974458076169641
dict,0.9925090997771471
dict,0.9975098718816217
dict,0.9922634230660865
dict,0.9919809204555183
dict,0.997461941507128
dict,0.9973421314588449
dict,0.9971552576659353
dict,0.9925437268954351
dict,0.9973504094992542
dict,0.9924857536874631
dict,0.9972758367729012
dict,0.9925760898061358
dict,0.9925591158301208
dict,0.997374572173219
dict,0.9925812391047272
dict,0.9972060008022178
dict,0.9976406286199218
dict,0.9924355908289726
dict,0.9971097245380486
dict,0.9925409296639836
dict,0.9973060278345296
dict,0.9972557456541069
dict,0.9973200593739298
dict,0.9972490373977418
dict,0.9972017509918722
dict,0.9920337124940881
dict,0.9921123940378401
dict,0.9922945021044336
dict,0.9926411657644723
dict,0.9972774554075986
dict,0.9926939588402922
dict,0.9974174205109387
dict,0.9973168352299833
llm,0.998579063227602
llm,0.9986383685233104
llm,0.9988791083249524
llm,0.9964125429726853
llm,0.9990580178703228
llm,0.9988568485902857
llm,0.9987205802264982
llm,0.998481411211866
llm,0.9986496594208447
llm,0.9988469478528229
llm,0.9988575940304351
llm,0.9991258288893322
llm,0.9986870929796028
llm,0.9994596942252956
llm,0.9962415562714797
llm,0.9987618209383402
llm,0.9983364279531571
llm,0.9992884621331642
llm,0.999117920278547
llm,0.9984410069546709
llm,0.9991148514602397
llm,0.9992912773209381
llm,0.995751544568612
llm,0.9994966223603967
llm,0.9959740660911849
llm,0.9964044922566963
llm,0.9965544847449861
llm,0.9993612905618564
llm,0.9992108247268252
llm,0.9985749280010661
llm,0.9986984204249386
llm,0.9965255417668056
llm,0.9990148711523162
llm,0.9966031660988299
llm,0.9979824567337787
llm,0.998827864961174
llm,0.9966330011423911
llm,0.9987768089768144
llm,0.9990579333773849
llm,0.9965595751115979
llm,0.9994502635979039
llm,0.9988788835873901
llm,0.9989681756792805
llm,0.9960223127622528
llm,0.9991349011928521
llm,0.998822584396166
llm,0.9992508939221105
llm,0.9990728200325011
llm,0.9964176005445883
llm,0.9986804589699037
llm,0.9955769938020606
llm,0.9965149834504947
llm,0.9962362490955345
llm,0.9995432656308062
llm,0.9987555000350319
llm,0.998622042423043
llm,0.9993778216780358
llm,0.9994551886354387
llm,0.9988650694295714
llm,0.999382580168675
llm,0.999126034016093
llm,0.998962260622271
llm,0.9961987209028343
llm,0.9990220957132943
llm,0.9994874081679945
llm,0.9966603890810769
llm,0.9965805672954982
llm,0.9963004573341978
llm,0.996235350930329
llm,0.9962026309940273
llm,0.9994263167831767
llm,0.9983869072640815
llm,0.9992654711217506
llm,0.9983619149258014
llm,0.9987817676246451
llm,0.9990907969453686
llm,0.9985412278172692
llm,0.9981734124498481
llm,0.9993911584915579
llm,0.9962311230444976
llm,0.9989201159983415
llm,0.9985648640589206
llm,0.9966608979993392
llm,0.9993651247054081
llm,0.9990080683773983
llm,0.9962092921109581
llm,0.9986624783989567
llm,0.9988941795839127
llm,0.9957186392351141
llm,0.9992225088165912
llm,0.9982019152337939
llm,0.995249947904116
llm,0.9961979303208353
llm,0.9993010810731459
llm,0.9984786448240733
llm,0.9986601520600582
llm,0.9988196436846657
llm,0.9986323919905092
llm,0.9984685360144465
llm,0.9995686675757579
